OID_,Value,Count,MUKEY,OBJECTID,musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey_1
1,60843,20396.000000000000000,60843,79,10B,"Chitwood silt loam, 0 to 7 percent slopes",,4.0000000,4.0000000,,61,61,None,None,0,5.0000000,9.3400002,17.8400002,26.3400002,Somewhat poorly drained,Somewhat poorly drained,D,3,85,3,85,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Not limited,0.0000000,Moderate,4,1.0000000,
2,60844,17595.000000000000000,60844,78,10C,"Chitwood silt loam, 7 to 15 percent slopes",,11.0000000,11.0000000,,61,61,None,None,0,5.0000000,9.3400002,17.8400002,26.3400002,Somewhat poorly drained,Somewhat poorly drained,D,4,85,4,85,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Very limited,1.0000000,Severe,3,1.0000000,
3,60845,361838.000000000000000,60845,77,11A,"Coquille-Clatsop complex, 0 to 1 percent slopes",,1.0000000,1.3000000,,15,15,Frequent,Frequent,95,5.7500000,10.7500000,19.8500004,28.1800003,Very poorly drained,Very poorly drained,C/D,,100,6,60,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Slight,100,1.0000000,
4,60846,415694.000000000000000,60846,76,12A,"Coquille-Clatsop complex, protected, 0 to 1 percent slopes",,1.0000000,1.3000000,,30,30,Rare,Rare,95,5.7500000,10.7500000,20.1100006,28.7800007,Very poorly drained,Very poorly drained,C/D,,100,4,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Slight,100,1.0000000,
5,60847,36062.000000000000000,60847,75,13A,"Coquille variant silt loam, 0 to 1 percent slopes",,1.0000000,1.0000000,,30,30,Rare,Rare,95,5.0000000,10.0000000,18.2000008,21.2000008,Poorly drained,Poorly drained,C/D,3,80,3,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Slight,100,1.0000000,
6,60848,34707.000000000000000,60848,74,14A,"Croquib medial silt loam, 0 to 3 percent slopes",,2.0000000,2.0000000,,0,5,None,None,87,9.8900003,19.7600002,34.7099991,37.3600006,Poorly drained,Poorly drained,D,,87,4,87,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Slight,87,1.0000000,
7,60849,48323.000000000000000,60849,73,15,Dune land,,,2.0000000,,0,0,None,None,15,1.0800000,2.1500001,4.3000002,6.4499998,,Poorly drained,,,85,8,85,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Good,Good,Not rated,1.0000000,Not rated,15,1.0000000,
8,60850,53858.000000000000000,60850,72,16D,"Ecola silt loam, 3 to 30 percent slopes",,17.0000000,17.0000000,99,,,None,None,0,7.0000000,12.0000000,21.7999992,21.7999992,Well drained,Well drained,C,,95,6,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.0800000,Severe,5,1.0000000,
9,60851,95455.000000000000000,60851,71,16F,"Ecola-Templeton silt loams, 60 to 90 percent slopes",,75.0000000,75.0000000,99,,,None,None,0,6.8600001,12.1199999,22.6200008,27.3600006,Well drained,Well drained,C,,85,7,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,
10,60852,72444.000000000000000,60852,70,17A,"Eilertsen silt loam, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,5.5000000,10.5000000,19.9599991,28.9599991,Well drained,Well drained,B,,93,2,85,Not limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Not limited,0.0000000,Slight,8,0.7760000,
