OID_,Field1,ID2,lat,long,el,OR_MapunitRaster_10m,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey
1,7,19006459,45.487538792999999,-122.571828080900005,.,61846.0000000,61846.0000000,,61846,,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,,Well drained,,,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,,,40,,Multnomah,Series,Yes,,,0.0000000,2.0000000,3.0000000,,,,,3,56,5,,,,,No,Well drained,46.0000000,84.0000000,122.0000000,,,,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,s,,3,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61846,20854322
2,21,50208705,45.472320000000003,-122.653724999999994,.,61778.0000000,61778.0000000,,61778,,19E,"Haploxerolls, steep",,50.0000000,50.0000000,,107,,None,None,0,4.2500000,9.1599998,19.0100002,21.5100002,Well drained,Well drained,A,,82,6,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,2,1.0000000,61778,,,2,,Aquolls,Taxon above family,No ,,seeps,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61778,20854424
3,24,51849686,45.516288333299997,-122.596641666699995,.,61845.0000000,61845.0000000,,61845,,51D,"Urban land-Latourell complex, 15 to 30 percent slopes",,23.0000000,23.0000000,,,,None,None,0,4.5000000,9.0000000,18.0000000,26.1200008,,Well drained,,,42,8,42,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.9200000,Not rated,0,1.0000000,61845,,,38,,Latourell,Series,Yes,,,15.0000000,23.0000000,30.0000000,,,,,4,56,5,,,,,No,Well drained,15.0000000,69.0000000,122.0000000,203,248,293,terraces,0.2300000,0.2300000,0.3000000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,4,e,,4,e,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,Low,"Fine-loamy, mixed, mesic Ultic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Ultic Haploxeralfs,fine-loamy,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61845,20854320
4,26,52996969,45.527636666699998,-122.731369999999998,.,61775.0000000,61775.0000000,,61775,,17E,"Goble silt loam, 30 to 60 percent slopes",,45.0000000,45.0000000,,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,61775,,,85,,Goble,Series,Yes,,,30.0000000,45.0000000,60.0000000,,,,,4,56,5,,,,,No,Well drained,61.0000000,275.0000000,488.0000000,338,68,158,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,,,,120,143,165,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61775,20854364
5,30,55095755,45.388011666700002,-122.836861666700003,.,61530.0000000,61530.0000000,,61530,,9,"Chehalis silty clay loam, occasional overflow",,2.0000000,2.0000000,,,,Occasional,Occasional,4,5.0000000,9.8900003,19.3199997,28.7500000,Well drained,Well drained,B,2,85,2,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.1020000,Slight,4,0.6180000,61530,,,4,,Wapato,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Poorly drained,30.0000000,61.0000000,91.0000000,,,,flood plains,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine-silty, mixed, mesic Fluvaquentic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Fluvaquentic Haplaquolls,fine-silty,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61530,20855496
6,32,57676245,44.850355555599997,-121.845697222200002,.,2595838.0000000,2595838.0000000,,2595838,,NOTCOM,No Digital Data Available,,,,,,,,,0,,,,,,,,,100,,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,2595838,,,100,,NOTCOM,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2595838,21831339
7,97,67931089,45.487029387800000,-122.572003304999996,.,61846.0000000,61846.0000000,,61846,,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,,Well drained,,,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,,,40,,Multnomah,Series,Yes,,,0.0000000,2.0000000,3.0000000,,,,,3,56,5,,,,,No,Well drained,46.0000000,84.0000000,122.0000000,,,,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,s,,3,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61846,20854322
8,171,68982848,45.478246666700002,-122.672203333300004,.,61841.0000000,61841.0000000,,61841,,50C,"Urban land, 3 to 15 percent slopes",,9.0000000,9.0000000,,,,None,None,0,,,,,,,,,100,8,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,61841,,,100,,Urban land,Miscellaneous area,Yes,,,3.0000000,9.0000000,15.0000000,,,,,,,,,,,,No,,15.0000000,23.0000000,30.0000000,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61841,20854313
9,220,70064801,45.478079999999999,-122.653663333300003,.,61780.1679688,61780.1679688,,61780,,1B,"Aloha silt loam, 3 to 8 percent slopes",,4.0000000,3.9000001,,54,54,None,None,3,5.0000000,10.0000000,20.0000000,29.7299995,Somewhat poorly drained,Somewhat poorly drained,C/D,2,90,2,90,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.1100000,Moderate,3,1.0000000,61780,,,3,,Wollent,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,56,5,,,,Wooded under natural conditions,Yes,Poorly drained,61.0000000,92.0000000,122.0000000,,,,terraces,0.1600000,0.2300000,0.2300000,11.0000000,12.0000000,12.0000000,1270,1397,1524,,,,165,188,210,3,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,D,Moderate,Moderate,"Fine-silty, mixed, nonacid, mesic Typic Humaquepts",Inceptisols,Aquepts,Humaquepts,Typic Humaquepts,fine-silty,,,nonacid,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61780,20854336
10,226,70133946,45.482436279100000,-122.715794853899993,.,61873.0000000,61873.0000000,,61873,,8D,"Cascade-Urban land complex, 15 to 30 percent slopes",,23.0000000,23.0000000,,61,61,None,None,0,4.7500000,9.5000000,13.2399998,13.7399998,Somewhat poorly drained,Somewhat poorly drained,C,4,50,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.9200000,Severe,0,1.0000000,61873,,,50,,Cascade,Series,Yes,,,15.0000000,23.0000000,30.0000000,,,,,4,56,5,,,,,No,Somewhat poorly drained,76.0000000,252.0000000,427.0000000,113,180,248,hillslopes,0.2300000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1270,1397,1524,,,,165,188,210,4,e,,4,e,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,C,Moderate,High,"Fine-silty, mixed, mesic Typic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Typic Fragiumbrepts,fine-silty,,,not used,mesic,Oxyaquic,mesic,,,,,,,,N/A,N/A,,,,,61873,20854392
