OID_,Field1,ID2,lat,long,el,RASTERVALU,VAT_Mapuni,VAT_Mapu_1,muaggatt_O,muaggatt_m,muaggatt_1,muaggatt_2,muaggatt_s,muaggatt_3,muaggatt_b,muaggatt_w,muaggatt_4,muaggatt_f,muaggatt_5,muaggatt_p,muaggatt_a,muaggatt_6,muaggatt_7,muaggatt_8,muaggatt_d,muaggatt_9,muaggatt_h,muaggatt_i,muaggat_10,muaggatt_n,muaggat_11,muaggatt_e,muaggat_12,muaggat_13,muaggat_14,muaggat_15,muaggat_16,muaggat_17,muaggat_18,muaggat_19,muaggat_20,muaggat_21,muaggat_22,muaggatt_u,muaggat_23,muaggat_24,muaggat_25,muaggat_26,muaggat_27,component_,component1,componen_1,componen_2,componen_3,componen_4,componen_5,componen_6,componen_7,componen_8,componen_9,compone_10,compone_11,compone_12,compone_13,compone_14,compone_15,compone_16,compone_17,compone_18,compone_19,compone_20,compone_21,compone_22,compone_23,compone_24,compone_25,compone_26,compone_27,compone_28,compone_29,compone_30,compone_31,compone_32,compone_33,compone_34,compone_35,compone_36,compone_37,compone_38,compone_39,compone_40,compone_41,compone_42,compone_43,compone_44,compone_45,compone_46,compone_47,compone_48,compone_49,compone_50,compone_51,compone_52,compone_53,compone_54,compone_55,compone_56,compone_57,compone_58,compone_59,compone_60,compone_61,compone_62,compone_63,compone_64,compone_65,compone_66,compone_67,compone_68,compone_69,compone_70,compone_71,compone_72,compone_73,compone_74,compone_75,compone_76,compone_77,compone_78,compone_79,compone_80,compone_81,compone_82,compone_83,compone_84,compone_85,compone_86,compone_87,compone_88,compone_89,compone_90,compone_91,compone_92,compone_93,compone_94,compone_95,compone_96,compone_97,compone_98,compone_99,compon_100,compon_101,compon_102,compon_103,compon_104,compon_105,compon_106,compon_107,compon_108
0,7,19006459,45.487538792999999,-122.571828081000007,.,61846.0000000,481942.000000000000000,61846,3126,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",-9999,2.0000000,2.0000000,-9999,-9999,-9999,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,-9999,Well drained,-9999,-9999,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,8734,-9999,40,-9999,Multnomah,Series,Yes,-9999,-9999,0.0000000,2.0000000,3.0000000,-9999,-9999,-9999,-9999,3,56,5,-9999,-9999,-9999,-9999,No,Well drained,46.0000000,84.0000000,122.0000000,-9999,-9999,-9999,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,-9999,-9999,-9999,165,188,210,3,s,-9999,3,s,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Low,0,0,0,-9999,-9999,-9999,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,-9999,-9999,not used,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61846,20854322
1,21,50208705,45.472320000000003,-122.653724999999994,.,61778.0000000,47832.000000000000000,61778,3058,19E,"Haploxerolls, steep",-9999,50.0000000,50.0000000,-9999,107,-9999,None,None,0,4.2500000,9.1599998,19.0100002,21.5100002,Well drained,Well drained,A,-9999,82,6,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,2,1.0000000,61778,8595,-9999,2,-9999,Aquolls,Taxon above family,No,-9999,seeps,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Wooded under natural conditions,Yes,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,depressions,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Mollisols,Aquolls,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61778,20854424
2,24,51849686,45.516288333299997,-122.596641667000000,.,61845.0000000,9476.000000000000000,61845,3125,51D,"Urban land-Latourell complex, 15 to 30 percent slopes",-9999,23.0000000,23.0000000,-9999,-9999,-9999,None,None,0,4.5000000,9.0000000,18.0000000,26.1200008,-9999,Well drained,-9999,-9999,42,8,42,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.9200000,Not rated,0,1.0000000,61845,8732,-9999,38,-9999,Latourell,Series,Yes,-9999,-9999,15.0000000,23.0000000,30.0000000,-9999,-9999,-9999,-9999,4,56,5,-9999,-9999,-9999,-9999,No,Well drained,15.0000000,69.0000000,122.0000000,203,248,293,terraces,0.2300000,0.2300000,0.3000000,11.0000000,12.0000000,12.0000000,1016,1270,1524,-9999,-9999,-9999,165,188,210,4,e,-9999,4,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Low,0,0,0,-9999,-9999,-9999,B,Moderate,Low,"Fine-loamy, mixed, mesic Ultic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Ultic Haploxeralfs,fine-loamy,-9999,-9999,not used,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61845,20854320
3,26,52996969,45.527636666699998,-122.731369999999998,.,61775.0000000,465223.000000000000000,61775,3055,17E,"Goble silt loam, 30 to 60 percent slopes",-9999,45.0000000,45.0000000,-9999,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,-9999,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,61775,8590,-9999,85,-9999,Goble,Series,Yes,-9999,-9999,30.0000000,45.0000000,60.0000000,-9999,-9999,-9999,-9999,4,56,5,-9999,-9999,-9999,-9999,No,Well drained,61.0000000,275.0000000,488.0000000,338,68,158,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,-9999,-9999,-9999,120,143,165,6,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,-9999,-9999,not used,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61775,20854364
4,30,55095755,45.388011666700002,-122.836861666999994,.,61530.0000000,235574.000000000000000,61530,2759,9,"Chehalis silty clay loam, occasional overflow",-9999,2.0000000,2.0000000,-9999,-9999,-9999,Occasional,Occasional,4,5.0000000,9.8900003,19.3199997,28.7500000,Well drained,Well drained,B,2,85,2,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.1020000,Slight,4,0.6180000,61530,8126,-9999,4,-9999,Wapato,Series,No,-9999,-9999,0.0000000,2.0000000,3.0000000,-9999,-9999,-9999,-9999,5,38,7,-9999,-9999,-9999,Wooded under natural conditions,Yes,Poorly drained,30.0000000,61.0000000,91.0000000,-9999,-9999,-9999,flood plains,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,-9999,-9999,-9999,165,188,210,3,w,-9999,3,w,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Low,0,0,0,-9999,-9999,-9999,D,Moderate,Moderate,"Fine-silty, mixed, mesic Fluvaquentic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Fluvaquentic Haplaquolls,fine-silty,-9999,-9999,not used,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61530,20855496
5,32,57676245,44.850355555599997,-121.845697221999998,.,2595840.0000000,41034649.000000000000000,2595838,3162,NOTCOM,No Digital Data Available,-9999,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,0,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,100,-9999,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,-9999.0000000,Not rated,0,-9999.0000000,2595838,8790,-9999,100,-9999,NOTCOM,-9999,Yes,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,2595838,21831339
6,97,67931089,45.487029387800000,-122.572003304999996,.,61846.0000000,481942.000000000000000,61846,3126,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",-9999,2.0000000,2.0000000,-9999,-9999,-9999,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,-9999,Well drained,-9999,-9999,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,8734,-9999,40,-9999,Multnomah,Series,Yes,-9999,-9999,0.0000000,2.0000000,3.0000000,-9999,-9999,-9999,-9999,3,56,5,-9999,-9999,-9999,-9999,No,Well drained,46.0000000,84.0000000,122.0000000,-9999,-9999,-9999,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,-9999,-9999,-9999,165,188,210,3,s,-9999,3,s,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Low,0,0,0,-9999,-9999,-9999,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,-9999,-9999,not used,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61846,20854322
7,171,68982848,45.478246666700002,-122.672203332999999,.,61841.0000000,146681.000000000000000,61841,3121,50C,"Urban land, 3 to 15 percent slopes",-9999,9.0000000,9.0000000,-9999,-9999,-9999,None,None,0,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,100,8,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,-9999.0000000,Not rated,0,-9999.0000000,61841,8725,-9999,100,-9999,Urban land,Miscellaneous area,Yes,-9999,-9999,3.0000000,9.0000000,15.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,No,-9999,15.0000000,23.0000000,30.0000000,-9999,-9999,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61841,20854313
8,220,70064801,45.478079999999999,-122.653663332999997,.,61780.1992188,12689.000000000000000,61780,3060,1B,"Aloha silt loam, 3 to 8 percent slopes",-9999,4.0000000,3.9000001,-9999,54,54,None,None,3,5.0000000,10.0000000,20.0000000,29.7299995,Somewhat poorly drained,Somewhat poorly drained,C/D,2,90,2,90,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.1100000,Moderate,3,1.0000000,61780,8599,-9999,3,-9999,Wollent,Series,No,-9999,-9999,0.0000000,2.0000000,3.0000000,-9999,-9999,-9999,-9999,5,56,5,-9999,-9999,-9999,Wooded under natural conditions,Yes,Poorly drained,61.0000000,92.0000000,122.0000000,-9999,-9999,-9999,terraces,0.1600000,0.2300000,0.2300000,11.0000000,12.0000000,12.0000000,1270,1397,1524,-9999,-9999,-9999,165,188,210,3,w,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,D,Moderate,Moderate,"Fine-silty, mixed, nonacid, mesic Typic Humaquepts",Inceptisols,Aquepts,Humaquepts,Typic Humaquepts,fine-silty,-9999,-9999,nonacid,mesic,Typic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61780,20854336
9,226,70133946,45.482436279100000,-122.715794853999995,.,61873.0000000,49214.000000000000000,61873,3153,8D,"Cascade-Urban land complex, 15 to 30 percent slopes",-9999,23.0000000,23.0000000,-9999,61,61,None,None,0,4.7500000,9.5000000,13.2399998,13.7399998,Somewhat poorly drained,Somewhat poorly drained,C,4,50,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.9200000,Severe,0,1.0000000,61873,8780,-9999,50,-9999,Cascade,Series,Yes,-9999,-9999,15.0000000,23.0000000,30.0000000,-9999,-9999,-9999,-9999,4,56,5,-9999,-9999,-9999,-9999,No,Somewhat poorly drained,76.0000000,252.0000000,427.0000000,113,180,248,hillslopes,0.2300000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1270,1397,1524,-9999,-9999,-9999,165,188,210,4,e,-9999,4,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Low,0,0,0,-9999,-9999,-9999,C,Moderate,High,"Fine-silty, mixed, mesic Typic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Typic Fragiumbrepts,fine-silty,-9999,-9999,not used,mesic,Oxyaquic,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,61873,20854392
