OID_,Field1,ID2,lat,long,el,RASTERVALU,VAT_Mapuni,VAT_Mapu_1,muaggatt_O,muaggatt_m,muaggatt_1,muaggatt_2,muaggatt_s,muaggatt_3,muaggatt_b,muaggatt_w,muaggatt_4,muaggatt_f,muaggatt_5,muaggatt_p,muaggatt_a,muaggatt_6,muaggatt_7,muaggatt_8,muaggatt_d,muaggatt_9,muaggatt_h,muaggatt_i,muaggat_10,muaggatt_n,muaggat_11,muaggatt_e,muaggat_12,muaggat_13,muaggat_14,muaggat_15,muaggat_16,muaggat_17,muaggat_18,muaggat_19,muaggat_20,muaggat_21,muaggat_22,muaggatt_u,muaggat_23,muaggat_24,muaggat_25,muaggat_26,muaggat_27,component_,component1,componen_1,componen_2,componen_3,componen_4,componen_5,componen_6,componen_7,componen_8,componen_9,compone_10,compone_11,compone_12,compone_13,compone_14,compone_15,compone_16,compone_17,compone_18,compone_19,compone_20,compone_21,compone_22,compone_23,compone_24,compone_25,compone_26,compone_27,compone_28,compone_29,compone_30,compone_31,compone_32,compone_33,compone_34,compone_35,compone_36,compone_37,compone_38,compone_39,compone_40,compone_41,compone_42,compone_43,compone_44,compone_45,compone_46,compone_47,compone_48,compone_49,compone_50,compone_51,compone_52,compone_53,compone_54,compone_55,compone_56,compone_57,compone_58,compone_59,compone_60,compone_61,compone_62,compone_63,compone_64,compone_65,compone_66,compone_67,compone_68,compone_69,compone_70,compone_71,compone_72,compone_73,compone_74,compone_75,compone_76,compone_77,compone_78,compone_79,compone_80,compone_81,compone_82,compone_83,compone_84,compone_85,compone_86,compone_87,compone_88,compone_89,compone_90,compone_91,compone_92,compone_93,compone_94,compone_95,compone_96,compone_97,compone_98,compone_99,compon_100,compon_101,compon_102,compon_103,compon_104,compon_105,compon_106,compon_107,compon_108
0,1,4601133,47.710300445599998,-122.367973328000005,.,3064850.0000000,64522.000000000000000,3064848,5504,4012,"Alderwood-Kitsap complex, 12 to 60 percent slopes",-9999,35.0000000,31.6000004,-9999,45,45,None,None,10,3.5599999,6.3800001,10.9700003,14.2600002,Moderately well drained,Somewhat poorly drained,A,-9999,100,7,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,10,1.0000000,3064848,18359,-9999,35,-9999,Kitsap,Series,Yes,-9999,-9999,12.0000000,35.0000000,60.0000000,30,61,91,-9999,5,56,5,-9999,-9999,-9999,-9999,No,Somewhat poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.2300000,0.2300000,0.2300000,9.0000000,10.0000000,11.0000000,760,940,1020,-9999,-9999,-9999,180,210,240,7,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,D,Moderate,High,"Fine-silty, isotic, nonacid, mesic Aeric Endoaquepts",Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts,fine-silty,not used,not used,nonacid,mesic,Oxyaquic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,3064848,21113704
1,2,6913373,48.024349624499997,-122.678455353000004,.,73720.0000000,34147.000000000000000,73720,4413,Bm,"Belfast silty clay loam, wet variant",-9999,2.0000000,2.0000000,-9999,23,23,Occasional,Occasional,0,4.9200001,8.9200001,17.4099998,25.9099998,Poorly drained,Poorly drained,C/D,-9999,100,5,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Slight,95,1.0000000,73720,15141,-9999,5,-9999,Belfast,Series,No,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,No,Well drained,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999.0000000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,73720,21207676
2,3,8254344,48.018842999999997,-122.671724999999995,.,73728.0000000,143714.000000000000000,73728,4421,CfC,"Cassolary sandy loam, 0 to 15 percent slopes",-9999,8.0000000,8.0000000,-9999,66,-9999,None,None,0,3.6700001,7.4200001,15.3400002,21.5200005,Well drained,Well drained,C,3,100,3,100,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.0080000,Moderate,0,0.9790000,73728,15154,-9999,100,-9999,Cassolary,Series,Yes,NIRR,-9999,0.0000000,8.0000000,15.0000000,-9999,-9999,-9999,-9999,5,86,3,-9999,-9999,-9999,-9999,No,Well drained,15.0000000,84.0000000,152.0000000,180,0,180,terraces,-9999.0000000,0.3700000,-9999.0000000,9.0000000,10.0000000,10.0000000,406,584,762,-9999,-9999,-9999,160,180,200,3,e,-9999,3,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,C,High,High,"Coarse-loamy, mixed, mesic Vitrandic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Vitrandic Xerochrepts,coarse-loamy,-9999,-9999,not used,mesic,-9999,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,73728,21207633
3,4,12363639,47.622615077600003,-117.055774980999999,.,85915.0000000,58633.000000000000000,85915,5215,5060,"Bouldercreek ashy silt loam, moist, 3 to 15 percent slopes",-9999,8.0000000,9.3000002,-9999,-9999,-9999,None,None,0,4.7500000,9.6800003,15.2200003,19.6700001,Well drained,Well drained,A,-9999,100,4,85,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.3510000,Moderate,5,0.6730000,85915,17596,-9999,10,-9999,Boulderjud,Series,No,finished,-9999,15.0000000,15.0000000,15.0000000,-9999,-9999,-9999,-9999,4,134,2,-9999,Tree cover,Conifers,-9999,No,Well drained,600.5000000,792.5000000,1036.3000488,300,0,60,"mountains, mountains",-9999.0000000,0.2300000,-9999.0000000,5.5999999,6.0999999,6.6999998,762,889,1016,-9999,-9999,-9999,80,85,90,3,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,High,0,0,0,-9999,-9999,-9999,A,Low,High,"Ashy over loamy-skeletal, amorphic over isotic, frigid Typic Udivitrands",Andisols,Vitrands,Udivitrands,Typic Udivitrands,ashy over loamy-skeletal,not used,not used,not used,frigid,Typic,frigid,eleventh edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,85915,20803106
4,8,19184654,47.743091441399997,-122.310934969000002,.,3064840.0000000,871863.000000000000000,3064837,5494,3056,"Urban land-Alderwood complex, 5 to 12 percent slopes",-9999,10.0000000,9.1000004,-9999,65,-9999,-9999,None,10,3.1900001,5.4600000,8.4300003,9.8699999,-9999,Moderately well drained,-9999,-9999,100,8,60,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.3780000,Not rated,10,1.0000000,3064837,18311,-9999,10,-9999,McKenna,Series,No,-9999,-9999,0.0000000,1.0000000,5.0000000,30,61,91,-9999,3,38,7,-9999,-9999,-9999,-9999,Yes,Poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.1600000,0.1600000,0.1600000,9.0000000,10.0000000,11.0000000,760,940,1020,-9999,-9999,-9999,180,210,240,6,w,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,C/D,Moderate,High,"Loamy-skeletal, mixed, superactive, nonacid, mesic Humic Epiaquepts",Inceptisols,Aquepts,Epiaquepts,Humic Epiaquepts,loamy-skeletal,not used,superactive,nonacid,mesic,Typic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,3064837,21113657
5,13,27216264,48.020480555600003,-122.698700000000002,.,73824.0000000,25754.000000000000000,73824,4517,Td,Tidal marsh,-9999,1.0000000,1.0000000,-9999,0,0,Frequent,Frequent,100,3.5999999,5.0999999,8.1000004,11.1000004,Very poorly drained,Very poorly drained,C/D,-9999,100,6,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Slight,100,1.0000000,73824,15288,-9999,100,-9999,Tidal marsh,Taxon above family,Yes,-9999,-9999,0.0000000,1.0000000,1.0000000,-9999,-9999,-9999,-9999,5,0,8,-9999,-9999,-9999,-9999,Yes,Very poorly drained,0.0000000,5.0000000,30.0000000,180,0,180,alluvial cones,-9999.0000000,-9999.0000000,-9999.0000000,10.0000000,10.0000000,10.0000000,762,1651,2540,-9999,-9999,-9999,200,220,240,6,w,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,C/D,High,Moderate,Fluvaquents,Entisols,Aquents,Fluvaquents,-9999,not used,-9999,-9999,not used,not used,-9999,mesic,-9999,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,73824,21207615
6,25,52964145,47.650978531299998,-122.307298779999996,.,3064840.0000000,807621.000000000000000,3064836,5493,3055,"Urban land-Alderwood complex, 0 to 5 percent slopes",-9999,3.0000000,2.8000000,-9999,65,-9999,-9999,None,10,3.1900001,5.4600000,8.4300003,9.8699999,-9999,Moderately well drained,-9999,-9999,100,8,60,Not rated,Not rated,Not limited,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.3160000,Not rated,10,1.0000000,3064836,18306,-9999,5,-9999,Kitsap,Series,No,-9999,-9999,0.0000000,3.0000000,5.0000000,30,61,91,-9999,5,56,5,-9999,-9999,-9999,-9999,No,Somewhat poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.2300000,0.2300000,0.2300000,9.0000000,10.0000000,11.0000000,760,940,1020,-9999,-9999,-9999,180,210,240,4,w,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,D,Moderate,High,"Fine-silty, isotic, nonacid, mesic Aeric Endoaquepts",Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts,fine-silty,not used,not used,nonacid,mesic,Oxyaquic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,3064836,21113646
7,37,61398540,47.661402615500002,-122.283244096000004,.,3064830.0000000,523230.000000000000000,3064830,5490,988,"Urban land, 0 to 5 percent slopes",-9999,3.0000000,3.2000000,-9999,-9999,-9999,-9999,-9999,0,1.9299999,3.6800001,5.4000001,5.4000001,-9999,-9999,-9999,-9999,100,8,90,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0290000,Not rated,0,1.0000000,3064830,18298,-9999,5,-9999,Alderwood,Series,No,-9999,-9999,0.0000000,3.0000000,5.0000000,30,61,91,-9999,3,56,5,-9999,-9999,-9999,-9999,No,Moderately well drained,5.0000000,120.0000000,165.0000000,180,0,180,"hills, plains",0.2300000,0.2300000,0.4400000,9.0000000,10.0000000,11.0000000,760,940,1020,-9999,-9999,-9999,180,210,240,4,s,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,A,Moderate,High,"Loamy-skeletal, isotic, mesic Aquic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Aquic Dystroxerepts,loamy-skeletal,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,3064830,21113650
8,38,61399467,48.170513357700003,-122.190197892000000,.,74900.0000000,726281.000000000000000,74900,3609,17,"Everett very gravelly sandy loam, 0 to 8 percent slopes",-9999,5.0000000,5.0000000,-9999,-9999,-9999,-9999,-9999,0,2.9000001,4.7100000,6.8000002,8.3000002,Somewhat excessively drained,Somewhat excessively drained,A,-9999,100,4,80,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0930000,Moderate,0,1.0000000,74900,11315,-9999,80,-9999,Everett,Series,Yes,-9999,-9999,0.0000000,5.0000000,8.0000000,30,49,91,-9999,3,48,6,-9999,-9999,-9999,-9999,No,Somewhat excessively drained,10.0000000,125.0000000,275.0000000,180,0,180,"eskers, kames, moraines, outwash plains",-9999.0000000,0.2300000,-9999.0000000,9.0000000,10.0000000,11.0000000,900,1050,2300,-9999,-9999,-9999,180,220,240,4,s,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,A,High,Moderate,"Sandy-skeletal, isotic, mesic Humic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Humic Dystroxerepts,sandy-skeletal,not used,not used,not used,mesic,Typic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,74900,21077540
9,39,61400313,47.675126331900003,-122.261067218999997,.,3064830.0000000,173296.000000000000000,3064831,5491,989,"Urban land, 5 to 20 percent slopes",-9999,15.0000000,15.0000000,-9999,-9999,-9999,-9999,-9999,0,1.9299999,3.6800001,5.4000001,5.4000001,-9999,-9999,-9999,-9999,100,8,90,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0290000,Not rated,0,1.0000000,3064831,18301,-9999,5,-9999,Alderwood,Series,No,-9999,-9999,5.0000000,15.0000000,20.0000000,30,61,91,-9999,3,56,5,-9999,-9999,-9999,-9999,No,Moderately well drained,5.0000000,120.0000000,165.0000000,180,0,180,"hills, plains",0.2300000,0.2300000,0.4400000,9.0000000,10.0000000,11.0000000,760,940,1020,-9999,-9999,-9999,180,210,240,4,e,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,None,0,0,0,-9999,-9999,-9999,A,Moderate,High,"Loamy-skeletal, isotic, mesic Aquic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Aquic Dystroxerepts,loamy-skeletal,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,-9999,-9999,-99,-99,-9999,-9999,N/A,N/A,-99,-9999,-9999,-9999,3064831,21113651
