field_1,ID2,lat,long,el,Aspect,Profilecurv,Tangentialc,Slope,PNWSRTMDEM
"1","4601133",47.7103004460,-122.3679733300,".",91.4419174190,-0.0042575267,0.0004456391,7.4087138176,40.0000000000
"2","6913373",48.0243496240,-122.6784553500,".",103.6209411600,-0.0011659389,-0.0005606405,1.8861142397,31.0000000000
"3","8254344",48.0188430000,-122.6717250000,".",20.4196720120,0.0044098105,-0.0004836523,11.9122619630,30.0000000000
"4","12363639",47.6226150780,-117.0557749800,".",,,,,
"5","12563075",46.2137060810,-115.5372149300,".",,,,,
"6","12969530",47.0029984770,-116.6770396600,".",,,,,
"7","19006459",45.4875387930,-122.5718280800,".",253.8439331100,-0.0002503372,0.0008007821,2.7486398220,84.0000000000
"8","19184654",47.7430914410,-122.3109349700,".",136.6427459700,0.0029529326,0.0032832059,3.6564095020,137.0000000000
"9","20544675",48.4761422130,-123.3113130600,".",255.6085968000,0.0004671872,-0.0004053604,0.8153018355,69.0000000000
"10","25981751",48.4574580790,-123.3355968600,".",79.6619949340,0.0010026194,0.0001886402,0.9845284820,46.0000000000
"11","26204238",48.4959589880,-123.3322602200,".",88.9539108280,0.0030044180,0.0027956183,9.6996908188,33.0000000000
"12","26884358",48.4566683190,-123.3248363600,".",289.9490661600,0.0017234801,0.0024367133,6.2967057228,116.0000000000
"13","27216264",48.0204805560,-122.6987000000,".",170.5242614700,-0.0006814944,0.0010310580,9.6780328751,14.0000000000
"14","27742079",48.7738250190,-123.9218526700,".",72.4130859380,0.0022103302,0.0034891607,18.5471553800,171.0000000000
"15","28711929",48.4595301190,-123.3357877600,".",112.8415374800,0.0001100898,-0.0006005024,2.5307028294,43.0000000000
"16","29603942",48.4579203440,-123.3131297900,".",119.9170379600,-0.0012718566,0.0002558955,2.1198134422,66.0000000000
"17","32015164",48.4377004760,-123.3262594300,".",266.8319702100,0.0003770818,-0.0011783955,1.7244763374,22.0000000000
"18","37020791",48.4522189780,-123.3339328800,".",283.9235534700,0.0002497033,-0.0000775744,1.3202456236,36.0000000000
"19","37281634",48.4656098640,-123.3000747500,".",35.1972312930,-0.0003600753,0.0011559674,4.4720916748,33.0000000000
"20","48715992",49.2104824000,-122.5237505000,".",183.6380767800,0.0004086125,-0.0004793028,3.9021017551,77.0000000000
"21","50208705",45.4723200000,-122.6537250000,".",149.3228454600,0.0027407436,0.0008529464,21.8232269290,23.0000000000
"22","51552951",49.3392528000,-122.9737917000,".",165.0867767300,-0.0002056588,-0.0001649359,3.8661730289,473.0000000000
"23","51656142",49.3197172180,-122.9689331900,".",289.3747253400,-0.0021735306,-0.0005997683,3.8002817631,112.0000000000
"24","51849686",45.5162883330,-122.5966416700,".",113.4785537700,0.0078961216,-0.0008594106,15.4806919100,156.0000000000
"25","52964145",47.6509785310,-122.3072987800,".",275.2933349600,0.0006943158,0.0015984135,3.2210917473,30.0000000000
"26","52996969",45.5276366670,-122.7313700000,".",93.9286499020,-0.0024285018,0.0001623873,11.6863498690,155.0000000000
