,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"1",4601133,47.7103004456,-122.3679733276,-9999,10.6,17.5,3.9,13.6,966,193,21.3,90.8,80,2243,2803,102,310,88,318,230,24,-15.6,35.5,11.1,734,323,71,35.54,1002
"2",6913373,48.0243496245,-122.6784553527,-9999,10,16.2,3.9,12.2,563,154,35.5,104.8,80,2023,2976,58,307,89,313,224,13,-15.9,34.3,-9999,686,339,72,1.03,821
"3",8254344,48.018843,-122.671725,-9999,10,16.2,4,12.2,567,155,35.3,104.9,80,2031,2967,59,307,89,313,224,13,-15.9,34.3,-9999,687,339,72,1.26,827
"4",12363639,47.6226150776,-117.0557749808,-9999,7.6,19.2,-3.6,22.8,726,208,24.2,92.5,400,1872,3934,140,209,133,275,141,166,-29.7,38,12.9,771,415,62,3.05,934
"5",12563075,46.2137060812,-115.537214935,-9999,8.2,19.9,-2.8,22.7,896,276,20.3,72.1,343,1999,3763,184,210,134,274,140,154,-29.3,40.1,13.7,858,379,59,11.99,1032
"6",12969530,47.002998477,-116.677039665,-9999,7,17.8,-3.5,21.4,714,188,23.9,94.9,401,1693,4062,83,195,143,264,121,172,-30.1,38.5,13.6,800,458,58,-1.3,794
"7",19006459,45.487538793,-122.5718280809,-9999,11.5,19.2,4,15.2,1173,214,18.4,89.6,72,2568,2547,188,312,88,319,230,26,-15.7,38.6,12.7,871,396,66,41.49,1252
"8",19184654,47.7430914414,-122.3109349687,-9999,10.4,17.3,3.7,13.6,989,204,20.6,85.1,83,2194,2857,93,308,90,317,227,26,-15.8,35.5,11.5,728,309,71,38.62,970
"9",20544675,48.4761422127,-123.3113130648,-9999,10,16.5,4.2,12.4,806,137,24.8,120.9,82,2038,2978,67,314,81,317,236,23,-14.3,34.4,-9999,664,350,74,27.22,851
"10",25981751,48.4574580791,-123.335596862,-9999,9.9,16.5,4,12.4,824,137,24.2,120.1,85,2014,3009,65,312,83,316,232,25,-14.5,34.4,11.4,663,347,74,29.17,838
"11",26204238,48.4959589876,-123.3322602239,-9999,10,16.6,4.1,12.5,837,139,23.9,119.6,83,2040,2982,69,313,82,317,235,24,-14.4,34.4,11.5,666,349,74,30.06,856
"12",26884358,48.4566683189,-123.324836362,-9999,9.9,16.5,4.1,12.4,813,137,24.5,120.5,84,2017,3004,65,313,83,316,233,24,-14.5,34.4,8.2,662,348,74,28.16,839
"13",27216264,48.0204805556,-122.6987,-9999,10,16.2,3.9,12.3,574,156,34.8,103.8,81,2019,2983,58,306,90,313,223,14,-16,34.3,-9999,686,337,72,2.21,819
"14",27742079,48.7738250189,-123.9218526706,-9999,8.6,16.9,1.4,15.5,1807,239,10.3,70.8,167,1780,3492,66,272,115,299,185,153,-19.4,35.4,11.3,671,254,72,128.23,778
"15",28711929,48.4595301194,-123.3357877623,-9999,9.9,16.5,4,12.4,825,137,24.2,120,85,2015,3008,65,312,83,316,233,25,-14.5,34.4,11.4,663,347,74,29.26,839
