OID_,Field1,ID2,lat,long,el,OR_MapunitRaster_10m,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey,Valu1_OBJECTID,Valu1_aws0_5,Valu1_aws5_20,Valu1_aws20_50,Valu1_aws50_100,Valu1_aws100_150,Valu1_aws150_999,Valu1_aws0_20,Valu1_aws0_30,Valu1_aws0_100,Valu1_aws0_150,Valu1_aws0_999,Valu1_tk0_5a,Valu1_tk5_20a,Valu1_tk20_50a,Valu1_tk50_100a,Valu1_tk100_150a,Valu1_tk150_999a,Valu1_tk0_20a,Valu1_tk0_30a,Valu1_tk0_100a,Valu1_tk0_150a,Valu1_tk0_999a,Valu1_musumcpcta,Valu1_soc0_5,Valu1_soc5_20,Valu1_soc20_50,Valu1_soc50_100,Valu1_soc100_150,Valu1_soc150_999,Valu1_soc0_20,Valu1_soc0_30,Valu1_soc0_100,Valu1_soc0_150,Valu1_soc0_999,Valu1_tk0_5s,Valu1_tk5_20s,Valu1_tk20_50s,Valu1_tk50_100s,Valu1_tk100_150s,Valu1_tk150_999s,Valu1_tk0_20s,Valu1_tk0_30s,Valu1_tk0_100s,Valu1_tk0_150s,Valu1_tk0_999s,Valu1_musumcpcts,Valu1_nccpi3corn,Valu1_nccpi3soy,Valu1_nccpi3cot,Valu1_nccpi3sg,Valu1_nccpi3all,Valu1_pctearthmc,Valu1_rootznemc,Valu1_rootznaws,Valu1_droughty,Valu1_pwsl1pomu,Valu1_musumcpct,Valu1_mukey,coecoclass_OBJECTID,coecoclass_ecoclasstypename,coecoclass_ecoclassref,coecoclass_ecoclassid,coecoclass_ecoclassname,coecoclass_cokey,coecoclass_coecoclasskey
1,7,19006459,45.487538792999999,-122.571828080900005,.,61846.0000000,61846.0000000,,61846,,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,,Well drained,,,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,,,40,,Multnomah,Series,Yes,,,0.0000000,2.0000000,3.0000000,,,,,3,56,5,,,,,No,Well drained,46.0000000,84.0000000,122.0000000,,,,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,s,,3,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61846,20854322,,4.0000000,12.0000000,21.6000004,35.4399986,8.0000000,0.3200000,16.0000000,23.2000008,73.0400009,81.0400009,81.3600006,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,0.8000000,8.0000000,12.0000000,40.0000000,60.0000000,60.7999992,40,566.0000000,1699.0000000,1522.0000000,2490.0000000,196.0000000,8.0000000,2266.0000000,2773.0000000,6278.0000000,6474.0000000,6482.0000000,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.0000000,8.0000000,12.0000000,40.0000000,60.0000000,61.0000000,40,0.3180000,0.2240000,0.0000000,0.3310000,0.3310000,40,150,203,0,,90,61846,,NRCS Forestland Site,Ecological Site Description Database,F002XB003OR,Gravelly Terrace Group,20854322,7157181
2,21,50208705,45.472320000000003,-122.653724999999994,.,61778.0000000,61778.0000000,,61778,,19E,"Haploxerolls, steep",,50.0000000,50.0000000,,107,,None,None,0,4.2500000,9.1599998,19.0100002,21.5100002,Well drained,Well drained,A,,82,6,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,2,1.0000000,61778,,,2,,Aquolls,Taxon above family,No ,,seeps,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61778,20854424,,6.8000002,20.3999996,46.0800018,78.8000031,20.0000000,0.8000000,27.2000008,41.2799988,152.0800018,172.0800018,172.8800049,4.0000000,12.0000000,24.0000000,40.0000000,40.0000000,1.6000000,16.0000000,24.0000000,80.0000000,120.0000000,121.5999985,80,1973.0000000,5920.0000000,4708.0000000,3502.0000000,2412.0000000,96.0000000,7893.0000000,11192.0000000,16103.0000000,18514.0000000,18611.0000000,4.0000000,12.0000000,24.0000000,40.0000000,40.0000000,2.0000000,16.0000000,24.0000000,80.0000000,120.0000000,122.0000000,80,0.1640000,0.0760000,0.0010000,0.1680000,0.1680000,80,150,215,0,2,82,61778,,,,,,,
3,24,51849686,45.516288333299997,-122.596641666699995,.,61845.0000000,61845.0000000,,61845,,51D,"Urban land-Latourell complex, 15 to 30 percent slopes",,23.0000000,23.0000000,,,,None,None,0,4.5000000,9.0000000,18.0000000,26.1200008,,Well drained,,,42,8,42,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.9200000,Not rated,0,1.0000000,61845,,,38,,Latourell,Series,Yes,,,15.0000000,23.0000000,30.0000000,,,,,4,56,5,,,,,No,Well drained,15.0000000,69.0000000,122.0000000,203,248,293,terraces,0.2300000,0.2300000,0.3000000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,4,e,,4,e,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,Low,"Fine-loamy, mixed, mesic Ultic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Ultic Haploxeralfs,fine-loamy,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61845,20854320,,3.4200001,10.2600002,20.5200005,34.2000008,30.8600006,4.7900000,13.6800003,20.5200005,68.4000015,99.2600021,104.0400009,1.9000000,5.6999998,11.3999996,19.0000000,19.0000000,6.8400002,7.5999999,11.3999996,38.0000000,57.0000000,63.8400002,38,373.0000000,1118.0000000,1917.0000000,1958.0000000,1683.0000000,86.0000000,1490.0000000,2236.0000000,5365.0000000,7048.0000000,7134.0000000,2.0000000,6.0000000,11.0000000,19.0000000,19.0000000,7.0000000,8.0000000,11.0000000,38.0000000,57.0000000,64.0000000,38,0.2440000,0.1690000,0.0000000,0.3080000,0.3080000,38,150,261,0,,80,61845,,NRCS Forestland Site,Ecological Site Description Database,F002XB003OR,Gravelly Terrace Group,20854320,7157180
4,26,52996969,45.527636666699998,-122.731369999999998,.,61775.0000000,61775.0000000,,61775,,17E,"Goble silt loam, 30 to 60 percent slopes",,45.0000000,45.0000000,,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,,85,6,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,61775,,,85,,Goble,Series,Yes,,,30.0000000,45.0000000,60.0000000,,,,,4,56,5,,,,,No,Well drained,61.0000000,275.0000000,488.0000000,338,68,158,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,,,,120,143,165,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61775,20854364,,12.7500000,25.5000000,51.0000000,79.9000015,21.2500000,1.7000000,38.2500000,55.2500000,169.1499939,190.3999939,192.1000061,4.2500000,12.7500000,25.5000000,42.5000000,42.5000000,3.4000001,17.0000000,25.5000000,85.0000000,127.5000000,130.8999939,85,2197.0000000,3588.0000000,5636.0000000,5354.0000000,3143.0000000,251.0000000,5784.0000000,8176.0000000,16775.0000000,19918.0000000,20170.0000000,4.0000000,13.0000000,26.0000000,43.0000000,43.0000000,3.0000000,17.0000000,26.0000000,85.0000000,128.0000000,131.0000000,85,0.1520000,0.0680000,0.0010000,0.1260000,0.1520000,85,94,188,0,,85,61775,,NRCS Forestland Site,Ecological Site Description Database,F001XC410OR,Mesic Udic Forest,20854364,7157105
5,30,55095755,45.388011666700002,-122.836861666700003,.,61530.0000000,61530.0000000,,61530,,9,"Chehalis silty clay loam, occasional overflow",,2.0000000,2.0000000,,,,Occasional,Occasional,4,5.0000000,9.8900003,19.3199997,28.7500000,Well drained,Well drained,B,2,85,2,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.1020000,Slight,4,0.6180000,61530,,,4,,Wapato,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Poorly drained,30.0000000,61.0000000,91.0000000,,,,flood plains,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine-silty, mixed, mesic Fluvaquentic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Fluvaquentic Haplaquolls,fine-silty,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61530,20855496,,8.8999996,26.7000008,52.4199982,83.9499969,83.9499969,3.3599999,35.5999985,53.4000015,171.9600067,255.9100037,259.2600098,4.4499998,13.3500004,26.7000008,44.5000000,44.5000000,1.7800000,17.7999992,26.7000008,89.0000000,133.5000000,135.2799988,89,2309.0000000,6927.0000000,11166.0000000,8427.0000000,5787.0000000,192.0000000,9237.0000000,13855.0000000,28830.0000000,34616.0000000,34809.0000000,4.0000000,13.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,89.0000000,134.0000000,135.0000000,89,0.9180000,0.7310000,0.0010000,0.8940000,0.9180000,85,150,289,0,4,89,61530,,Forage Suitability Groups,,G002XY006OR,Poorly Drained,20855496,7158352
6,32,57676245,44.850355555599997,-121.845697222200002,.,2595838.0000000,2595838.0000000,,2595838,,NOTCOM,No Digital Data Available,,,,,,,,,0,,,,,,,,,100,,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,2595838,,,100,,NOTCOM,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2595838,21831339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,100,2595838,,,,,,,
7,97,67931089,45.487029387800000,-122.572003304999996,.,61846.0000000,61846.0000000,,61846,,52A,"Urban land-Multnomah complex, 0 to 3 percent slopes",,2.0000000,2.0000000,,,,None,None,0,4.9000001,9.3999996,18.2600002,20.2600002,,Well drained,,,50,8,50,Not rated,Not rated,Not limited,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0240000,Not rated,0,1.0000000,61846,,,40,,Multnomah,Series,Yes,,,0.0000000,2.0000000,3.0000000,,,,,3,56,5,,,,,No,Well drained,46.0000000,84.0000000,122.0000000,,,,terraces,0.1600000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,s,,3,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61846,20854322,,4.0000000,12.0000000,21.6000004,35.4399986,8.0000000,0.3200000,16.0000000,23.2000008,73.0400009,81.0400009,81.3600006,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,0.8000000,8.0000000,12.0000000,40.0000000,60.0000000,60.7999992,40,566.0000000,1699.0000000,1522.0000000,2490.0000000,196.0000000,8.0000000,2266.0000000,2773.0000000,6278.0000000,6474.0000000,6482.0000000,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.0000000,8.0000000,12.0000000,40.0000000,60.0000000,61.0000000,40,0.3180000,0.2240000,0.0000000,0.3310000,0.3310000,40,150,203,0,,90,61846,,NRCS Forestland Site,Ecological Site Description Database,F002XB003OR,Gravelly Terrace Group,20854322,7157181
8,171,68982848,45.478246666700002,-122.672203333300004,.,61841.0000000,61841.0000000,,61841,,50C,"Urban land, 3 to 15 percent slopes",,9.0000000,9.0000000,,,,None,None,0,,,,,,,,,100,8,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,61841,,,100,,Urban land,Miscellaneous area,Yes,,,3.0000000,9.0000000,15.0000000,,,,,,,,,,,,No,,15.0000000,23.0000000,30.0000000,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61841,20854313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,100,61841,,,,,,,
9,220,70064801,45.478079999999999,-122.653663333300003,.,61780.1679688,61780.1679688,,61780,,1B,"Aloha silt loam, 3 to 8 percent slopes",,4.0000000,3.9000001,,54,54,None,None,3,5.0000000,10.0000000,20.0000000,29.7299995,Somewhat poorly drained,Somewhat poorly drained,C/D,2,90,2,90,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.1100000,Moderate,3,1.0000000,61780,,,3,,Wollent,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,56,5,,,,Wooded under natural conditions,Yes,Poorly drained,61.0000000,92.0000000,122.0000000,,,,terraces,0.1600000,0.2300000,0.2300000,11.0000000,12.0000000,12.0000000,1270,1397,1524,,,,165,188,210,3,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,D,Moderate,Moderate,"Fine-silty, mixed, nonacid, mesic Typic Humaquepts",Inceptisols,Aquepts,Humaquepts,Typic Humaquepts,fine-silty,,,nonacid,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61780,20854336,,9.3000002,27.8999996,55.7999992,93.0000000,90.4800034,3.5400000,37.2000008,55.7999992,186.0000000,276.4800110,280.0199890,4.6500001,13.9499998,27.8999996,46.5000000,46.5000000,1.8600000,18.6000004,27.8999996,93.0000000,139.5000000,141.3600006,93,1018.0000000,3055.0000000,3366.0000000,5066.0000000,2921.0000000,49.0000000,4073.0000000,5412.0000000,12505.0000000,15426.0000000,15476.0000000,5.0000000,14.0000000,28.0000000,47.0000000,47.0000000,2.0000000,19.0000000,28.0000000,93.0000000,140.0000000,141.0000000,93,0.8660000,0.7020000,0.0010000,0.8520000,0.8660000,90,150,297,0,3,93,61780,,Forage Suitability Groups,,G002XY006OR,Poorly Drained,20854336,7157231
10,226,70133946,45.482436279100000,-122.715794853899993,.,61873.0000000,61873.0000000,,61873,,8D,"Cascade-Urban land complex, 15 to 30 percent slopes",,23.0000000,23.0000000,,61,61,None,None,0,4.7500000,9.5000000,13.2399998,13.7399998,Somewhat poorly drained,Somewhat poorly drained,C,4,50,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.9200000,Severe,0,1.0000000,61873,,,50,,Cascade,Series,Yes,,,15.0000000,23.0000000,30.0000000,,,,,4,56,5,,,,,No,Somewhat poorly drained,76.0000000,252.0000000,427.0000000,113,180,248,hillslopes,0.2300000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1270,1397,1524,,,,165,188,210,4,e,,4,e,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,C,Moderate,High,"Fine-silty, mixed, mesic Typic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Typic Fragiumbrepts,fine-silty,,,not used,mesic,Oxyaquic,mesic,,,,,,,,N/A,N/A,,,,,61873,20854392,,4.7500000,14.2500000,28.5000000,18.7000008,2.5000000,0.1000000,19.0000000,28.5000000,66.1999969,68.6999969,68.8000031,2.5000000,7.5000000,15.0000000,25.0000000,25.0000000,1.0000000,10.0000000,15.0000000,50.0000000,75.0000000,76.0000000,50,825.0000000,2476.0000000,2537.0000000,2706.0000000,1849.0000000,74.0000000,3302.0000000,4148.0000000,8545.0000000,10394.0000000,10467.0000000,3.0000000,8.0000000,15.0000000,25.0000000,25.0000000,1.0000000,10.0000000,15.0000000,50.0000000,75.0000000,76.0000000,50,0.2010000,0.1170000,0.0010000,0.2380000,0.2380000,50,68,129,1,,90,61873,,NRCS Forestland Site,Ecological Site Description Database,F002XB005OR,Loess Hill Group,20854392,7157208
