OID_,Field1,ID2,lat,long,el,OR_MapunitRaster_10m,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey,Valu1_OBJECTID,Valu1_aws0_5,Valu1_aws5_20,Valu1_aws20_50,Valu1_aws50_100,Valu1_aws100_150,Valu1_aws150_999,Valu1_aws0_20,Valu1_aws0_30,Valu1_aws0_100,Valu1_aws0_150,Valu1_aws0_999,Valu1_tk0_5a,Valu1_tk5_20a,Valu1_tk20_50a,Valu1_tk50_100a,Valu1_tk100_150a,Valu1_tk150_999a,Valu1_tk0_20a,Valu1_tk0_30a,Valu1_tk0_100a,Valu1_tk0_150a,Valu1_tk0_999a,Valu1_musumcpcta,Valu1_soc0_5,Valu1_soc5_20,Valu1_soc20_50,Valu1_soc50_100,Valu1_soc100_150,Valu1_soc150_999,Valu1_soc0_20,Valu1_soc0_30,Valu1_soc0_100,Valu1_soc0_150,Valu1_soc0_999,Valu1_tk0_5s,Valu1_tk5_20s,Valu1_tk20_50s,Valu1_tk50_100s,Valu1_tk100_150s,Valu1_tk150_999s,Valu1_tk0_20s,Valu1_tk0_30s,Valu1_tk0_100s,Valu1_tk0_150s,Valu1_tk0_999s,Valu1_musumcpcts,Valu1_nccpi3corn,Valu1_nccpi3soy,Valu1_nccpi3cot,Valu1_nccpi3sg,Valu1_nccpi3all,Valu1_pctearthmc,Valu1_rootznemc,Valu1_rootznaws,Valu1_droughty,Valu1_pwsl1pomu,Valu1_musumcpct,Valu1_mukey,coecoclass_OBJECTID,coecoclass_ecoclasstypename,coecoclass_ecoclassref,coecoclass_ecoclassid,coecoclass_ecoclassname,coecoclass_cokey,coecoclass_coecoclasskey
1,1,4601133,47.710300445599998,-122.367973327599998,.,,3064848.0000000,,3064848,,4012,"Alderwood-Kitsap complex, 12 to 60 percent slopes",,35.0000000,31.6000004,,45,45,None,None,10,3.5599999,6.3800001,10.9700003,14.2600002,Moderately well drained,Somewhat poorly drained,A,,100,7,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1.0000000,Severe,10,1.0000000,3064848,,,35,,Kitsap,Series,Yes,,,12.0000000,35.0000000,60.0000000,30,61,91,,5,56,5,,,,,No,Somewhat poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.2300000,0.2300000,0.2300000,9.0000000,10.0000000,11.0000000,760,940,1020,,,,180,210,240,7,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,D,Moderate,High,"Fine-silty, isotic, nonacid, mesic Aeric Endoaquepts",Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts,fine-silty,not used,not used,nonacid,mesic,Oxyaquic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,3064848,21113704,,7.6300001,20.1700001,32.8100014,43.5999985,31.2500000,0.0600000,27.8099995,39.3400002,104.2200012,135.4700012,135.5299988,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,1.2000000,19.0000000,28.5000000,95.0000000,142.5000000,143.6999969,95,2529.0000000,5683.0000000,3283.0000000,2435.0000000,1117.0000000,130.0000000,8212.0000000,9605.0000000,13930.0000000,15047.0000000,15177.0000000,5.0000000,14.0000000,29.0000000,48.0000000,48.0000000,1.0000000,19.0000000,29.0000000,95.0000000,143.0000000,144.0000000,95,0.1320000,0.0570000,0.0010000,0.1260000,0.1320000,75,117,159,0,10,100,3064848,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21113704,7290560
2,2,6913373,48.024349624499997,-122.678455352699999,.,,73720.0000000,,73720,,Bm,"Belfast silty clay loam, wet variant",,2.0000000,2.0000000,,23,23,Occasional,Occasional,0,4.9200001,8.9200001,17.4099998,25.9099998,Poorly drained,Poorly drained,C/D,,100,5,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.0000000,Slight,95,1.0000000,73720,,,5,,Belfast,Series,No ,,,,,,,,,,,,,,,,,No,Well drained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,73720,21207676,,9.5000000,28.5000000,46.7400017,80.6600037,80.7500000,3.2300000,38.0000000,54.3400002,165.3999939,246.1499939,249.3800049,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,1.9000000,19.0000000,28.5000000,95.0000000,142.5000000,144.3999939,95,2438.0000000,7315.0000000,7248.0000000,4266.0000000,4135.0000000,165.0000000,9753.0000000,12716.0000000,21268.0000000,25402.0000000,25568.0000000,5.0000000,14.0000000,29.0000000,48.0000000,48.0000000,2.0000000,19.0000000,29.0000000,95.0000000,143.0000000,144.0000000,95,0.6420000,0.5410000,0.0010000,0.5350000,0.6420000,95,150,259,0,95,100,73720,,,,,,,
3,3,8254344,48.018842999999997,-122.671724999999995,.,,73728.0000000,,73728,,CfC,"Cassolary sandy loam, 0 to 15 percent slopes",,8.0000000,8.0000000,,66,,None,None,0,3.6700001,7.4200001,15.3400002,21.5200005,Well drained,Well drained,C,3,100,3,100,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.0080000,Moderate,0,0.9790000,73728,,,100,,Cassolary,Series,Yes,NIRR,,0.0000000,8.0000000,15.0000000,,,,,5,86,3,,,,,No,Well drained,15.0000000,84.0000000,152.0000000,180,0,180,terraces,,0.3700000,,9.0000000,10.0000000,10.0000000,406,584,762,,,,160,180,200,3,e,,3,e,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Coarse-loamy, mixed, mesic Vitrandic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Vitrandic Xerochrepts,coarse-loamy,,,not used,mesic,,mesic,,,,,,,,N/A,N/A,,,,,73728,21207633,,7.0000000,22.2000008,45.0000000,79.1999969,61.7999992,1.8000000,29.2000008,44.2000008,153.3999939,215.1999969,217.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100,540.0000000,835.0000000,1277.0000000,1113.0000000,911.0000000,36.0000000,1375.0000000,1801.0000000,3765.0000000,4676.0000000,4712.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100,0.4100000,0.4950000,0.0010000,0.4520000,0.4950000,100,150,215,0,,100,73728,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21207633,7293769
4,4,12363639,47.622615077600003,-117.055774980799995,.,,85915.0000000,,85915,,5060,"Bouldercreek ashy silt loam, moist, 3 to 15 percent slopes",,8.0000000,9.3000002,,,,None,None,0,4.7500000,9.6800003,15.2200003,19.6700001,Well drained,Well drained,A,,100,4,85,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.3510000,Moderate,5,0.6730000,85915,,,10,,Boulderjud,Series,No ,finished,,15.0000000,15.0000000,15.0000000,,,,,4,134,2,,Tree cover,Conifers,,No,Well drained,600.5000000,792.5000000,1036.3000488,300,0,60,"mountains, mountains",,0.2300000,,5.5999999,6.0999999,6.6999998,762,889,1016,,,,80,85,90,3,e,,,,,,,,,,,,,,,,,,,,,,,,,High,0,0,0,,,,A,Low,High,"Ashy over loamy-skeletal, amorphic over isotic, frigid Typic Udivitrands",Andisols,Vitrands,Udivitrands,Typic Udivitrands,ashy over loamy-skeletal,not used,not used,not used,frigid,Typic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,85915,20803106,,9.4499998,27.2600002,60.0600014,55.4799995,44.4799995,2.3699999,36.7099991,58.2099991,152.2500000,196.7299957,199.1000061,5.0000000,15.0000000,30.0000000,50.0000000,47.9000015,2.9000001,20.0000000,30.0000000,100.0000000,147.8999939,150.8000031,100,4079.0000000,2685.0000000,1864.0000000,818.0000000,344.0000000,43.0000000,6764.0000000,7675.0000000,9446.0000000,9790.0000000,9833.0000000,5.0000000,15.0000000,30.0000000,50.0000000,48.0000000,3.0000000,20.0000000,30.0000000,100.0000000,148.0000000,151.0000000,100,0.0010000,0.2330000,0.0010000,0.3390000,0.3390000,65,142,174,0,5,100,85915,,Forest Habitat Types of Northern Idaho (GTR-INT-236),Forest Habitat Types of Northern Idaho: A Second Approximation; INT-GTR-236; December 1987.,CN575,western hemlock/wild ginger,20803106,7137536
5,8,19184654,47.743091441399997,-122.310934968699996,.,,3064837.0000000,,3064837,,3056,"Urban land-Alderwood complex, 5 to 12 percent slopes",,10.0000000,9.1000004,,65,,,None,10,3.1900001,5.4600000,8.4300003,9.8699999,,Moderately well drained,,,100,8,60,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.3780000,Not rated,10,1.0000000,3064837,,,10,,McKenna,Series,No ,,,0.0000000,1.0000000,5.0000000,30,61,91,,3,38,7,,,,,Yes,Poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.1600000,0.1600000,0.1600000,9.0000000,10.0000000,11.0000000,760,940,1020,,,,180,210,240,6,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C/D,Moderate,High,"Loamy-skeletal, mixed, superactive, nonacid, mesic Humic Epiaquepts",Inceptisols,Aquepts,Epiaquepts,Humic Epiaquepts,loamy-skeletal,not used,superactive,nonacid,mesic,Typic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,3064837,21113657,,3.2300000,7.3699999,11.2100000,11.8999996,5.7500000,0.0600000,10.6099997,14.7399998,33.7200012,39.4700012,39.5299988,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.2000000,8.0000000,12.0000000,40.0000000,60.0000000,61.2000008,40,1262.0000000,2347.0000000,1443.0000000,1187.0000000,768.0000000,130.0000000,3610.0000000,4225.0000000,6240.0000000,7008.0000000,7138.0000000,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.0000000,8.0000000,12.0000000,40.0000000,60.0000000,61.0000000,40,0.0900000,0.0540000,0.0000000,0.0870000,0.0900000,15,89,68,1,10,100,3064837,,NRCS Forestland Site,Ecological Site Description Database,F002XA007WA,Puget Lowlands Wet Forest,21113657,7290542
6,13,27216264,48.020480555600003,-122.698700000000002,.,,73824.0000000,,73824,,Td,Tidal marsh,,1.0000000,1.0000000,,0,0,Frequent,Frequent,100,3.5999999,5.0999999,8.1000004,11.1000004,Very poorly drained,Very poorly drained,C/D,,100,6,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Slight,100,1.0000000,73824,,,100,,Tidal marsh,Taxon above family,Yes,,,0.0000000,1.0000000,1.0000000,,,,,5,0,8,,,,,Yes,Very poorly drained,0.0000000,5.0000000,30.0000000,180,0,180,alluvial cones,,,,10.0000000,10.0000000,10.0000000,762,1651,2540,,,,200,220,240,6,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C/D,High,Moderate,Fluvaquents,Entisols,Aquents,Fluvaquents,,not used,,,not used,not used,,mesic,,,,,,,,N/A,N/A,,,,,73824,21207615,,10.0000000,23.0000000,18.0000000,30.0000000,30.0000000,1.2000000,33.0000000,39.0000000,81.0000000,111.0000000,112.1999969,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100,5438.0000000,13277.0000000,14408.0000000,24014.0000000,24014.0000000,961.0000000,18715.0000000,23518.0000000,57137.0000000,81151.0000000,82112.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100,0.0020000,0.0040000,0.0010000,0.0270000,0.0270000,100,150,111,1,100,100,73824,,,,,,,
7,25,52964145,47.650978531299998,-122.307298779500002,.,,3064836.2500000,,3064836,,3055,"Urban land-Alderwood complex, 0 to 5 percent slopes",,3.0000000,2.8000000,,65,,,None,10,3.1900001,5.4600000,8.4300003,9.8699999,,Moderately well drained,,,100,8,60,Not rated,Not rated,Not limited,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.3160000,Not rated,10,1.0000000,3064836,,,5,,Kitsap,Series,No ,,,0.0000000,3.0000000,5.0000000,30,61,91,,5,56,5,,,,,No,Somewhat poorly drained,5.0000000,85.0000000,165.0000000,180,0,180,"plains, terraces",0.2300000,0.2300000,0.2300000,9.0000000,10.0000000,11.0000000,760,940,1020,,,,180,210,240,4,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,D,Moderate,High,"Fine-silty, isotic, nonacid, mesic Aeric Endoaquepts",Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts,fine-silty,not used,not used,nonacid,mesic,Oxyaquic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,3064836,21113646,,3.2300000,7.3699999,11.2100000,11.8999996,5.7500000,0.0600000,10.6099997,14.7399998,33.7200012,39.4700012,39.5299988,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.2000000,8.0000000,12.0000000,40.0000000,60.0000000,61.2000008,40,1262.0000000,2347.0000000,1443.0000000,1187.0000000,768.0000000,130.0000000,3610.0000000,4225.0000000,6240.0000000,7008.0000000,7138.0000000,2.0000000,6.0000000,12.0000000,20.0000000,20.0000000,1.0000000,8.0000000,12.0000000,40.0000000,60.0000000,61.0000000,40,0.0930000,0.0570000,0.0000000,0.0890000,0.0930000,15,89,68,1,10,100,3064836,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21113646,7290543
8,37,61398540,47.661402615500002,-122.283244096199994,.,,3064830.0000000,,3064830,,988,"Urban land, 0 to 5 percent slopes",,3.0000000,3.2000000,,,,,,0,1.9299999,3.6800001,5.4000001,5.4000001,,,,,100,8,90,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0290000,Not rated,0,1.0000000,3064830,,,5,,Alderwood,Series,No ,,,0.0000000,3.0000000,5.0000000,30,61,91,,3,56,5,,,,,No,Moderately well drained,5.0000000,120.0000000,165.0000000,180,0,180,"hills, plains",0.2300000,0.2300000,0.4400000,9.0000000,10.0000000,11.0000000,760,940,1020,,,,180,210,240,4,s,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,A,Moderate,High,"Loamy-skeletal, isotic, mesic Aquic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Aquic Dystroxerepts,loamy-skeletal,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,3064830,21113650,,0.4000000,1.1799999,2.0999999,1.7200000,0.0000000,,1.5800000,2.2800000,5.4000001,5.4000001,5.4000001,0.5000000,1.5000000,3.0000000,5.0000000,5.0000000,,2.0000000,3.0000000,10.0000000,15.0000000,15.0000000,10,159.0000000,433.0000000,313.0000000,268.0000000,48.0000000,,592.0000000,696.0000000,1172.0000000,1220.0000000,1220.0000000,1.0000000,2.0000000,3.0000000,5.0000000,5.0000000,,2.0000000,3.0000000,10.0000000,15.0000000,15.0000000,10,,,,,,0,,,,,100,3064830,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21113650,7290553
9,38,61399467,48.170513357700003,-122.190197892499995,.,,74900.0000000,,74900,,17,"Everett very gravelly sandy loam, 0 to 8 percent slopes",,5.0000000,5.0000000,,,,,,0,2.9000001,4.7100000,6.8000002,8.3000002,Somewhat excessively drained,Somewhat excessively drained,A,,100,4,80,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0930000,Moderate,0,1.0000000,74900,,,80,,Everett,Series,Yes,,,0.0000000,5.0000000,8.0000000,30,49,91,,3,48,6,,,,,No,Somewhat excessively drained,10.0000000,125.0000000,275.0000000,180,0,180,"eskers, kames, moraines, outwash plains",,0.2300000,,9.0000000,10.0000000,11.0000000,900,1050,2300,,,,180,220,240,4,s,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,A,High,Moderate,"Sandy-skeletal, isotic, mesic Humic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Humic Dystroxerepts,sandy-skeletal,not used,not used,not used,mesic,Typic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,74900,21077540,,14.0699997,11.2500000,21.7600002,20.8700008,15.0000000,0.6000000,25.3199997,32.6199989,67.9499969,82.9499969,83.5500031,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,1.8000000,20.0000000,30.0000000,100.0000000,150.0000000,151.8000031,100,3114.0000000,3469.0000000,3964.0000000,2759.0000000,683.0000000,27.0000000,6583.0000000,7932.0000000,13306.0000000,13989.0000000,14016.0000000,5.0000000,15.0000000,30.0000000,50.0000000,50.0000000,2.0000000,20.0000000,30.0000000,100.0000000,150.0000000,152.0000000,100,0.3600000,0.1730000,0.0010000,0.4470000,0.4470000,80,147,67,1,,100,74900,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21077540,7253902
10,39,61400313,47.675126331900003,-122.261067219099999,.,,3064831.0000000,,3064831,,989,"Urban land, 5 to 20 percent slopes",,15.0000000,15.0000000,,,,,,0,1.9299999,3.6800001,5.4000001,5.4000001,,,,,100,8,90,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.0290000,Not rated,0,1.0000000,3064831,,,5,,Alderwood,Series,No ,,,5.0000000,15.0000000,20.0000000,30,61,91,,3,56,5,,,,,No,Moderately well drained,5.0000000,120.0000000,165.0000000,180,0,180,"hills, plains",0.2300000,0.2300000,0.4400000,9.0000000,10.0000000,11.0000000,760,940,1020,,,,180,210,240,4,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,A,Moderate,High,"Loamy-skeletal, isotic, mesic Aquic Dystroxerepts",Inceptisols,Xerepts,Dystroxerepts,Aquic Dystroxerepts,loamy-skeletal,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,,,,,,,N/A,N/A,,,,,3064831,21113651,,0.4000000,1.1799999,2.0999999,1.7200000,0.0000000,,1.5800000,2.2800000,5.4000001,5.4000001,5.4000001,0.5000000,1.5000000,3.0000000,5.0000000,5.0000000,,2.0000000,3.0000000,10.0000000,15.0000000,15.0000000,10,159.0000000,433.0000000,313.0000000,268.0000000,48.0000000,,592.0000000,696.0000000,1172.0000000,1220.0000000,1220.0000000,1.0000000,2.0000000,3.0000000,5.0000000,5.0000000,,2.0000000,3.0000000,10.0000000,15.0000000,15.0000000,10,,,,,,0,,,,,100,3064831,,NRCS Forestland Site,Ecological Site Description Database,F002XA004WA,Puget Lowlands Forest,21113651,7290530
